date,Open,High,Low,Close,Value,Volume
2026-04-17,7.58,8.12,7.4,8.01,26087631.0,3326089.8002549936
2026-04-20,8.0,8.28,7.77,7.77,14172448.0,1784943.0730478594
2026-04-21,7.77,7.9,6.98,7.11,53068772.0,7239941.609822646
2026-04-22,7.1,7.29,6.56,6.8,37852672.0,5499177.530266345
2026-04-23,6.77,7.09,6.7,6.8,14065098.0,2049310.0534239924
2026-04-24,6.82,6.95,6.64,6.65,8257233.0,1223898.1719367588
2026-04-27,7.37,8.02,7.0,7.2,66907472.0,9033412.061206121
2026-04-28,7.0,7.12,6.8,6.94,19005964.0,2733360.1150527326
2026-04-29,6.94,7.79,6.74,7.79,31246836.0,4199843.548387096
2026-04-30,7.78,7.87,7.55,7.73,16611768.0,2152712.915766739
2026-05-04,7.74,7.82,7.39,7.46,7014802.0,928293.1627701807
2026-05-05,7.51,7.89,7.5,7.89,22833835.0,2942504.510309278
2026-05-06,8.0,8.31,7.85,8.3,43319465.0,5313098.732624693
2026-05-07,8.37,8.63,8.2,8.51,27838694.0,3295820.126282558
2026-05-08,8.51,9.07,8.43,8.69,50067118.0,5735065.063001147
2026-05-11,8.85,8.85,8.01,8.07,27226948.0,3276407.70156438
2026-05-12,8.19,8.4,8.17,8.25,12358749.0,1493805.2780016116
2026-05-13,8.26,8.77,7.78,8.65,35841731.0,4266872.738095238
2026-05-14,8.66,8.98,8.6,8.9,28734769.0,3255449.6601208462
2026-05-15,8.95,8.95,8.31,8.48,13455238.0,1568209.557109557
2026-05-18,8.45,8.97,8.2,8.97,23695293.0,2719429.1889824024
2026-05-19,9.0,9.24,8.7,8.8,36771270.0,4125422.9618549
2026-05-20,8.55,9.09,8.44,8.6,9287331.0,1066283.6969001146
2026-05-21,8.7,8.9,8.35,8.38,24299890.0,2844310.1833788524
2026-05-22,8.38,8.65,8.38,8.51,5806752.0,682077.3688332028
2026-05-25,8.52,8.86,8.52,8.71,6415104.0,737650.9007282483
2026-05-26,8.72,8.79,8.46,8.6,6120967.0,710363.6750483558
2026-05-28,8.6,8.6,8.38,8.44,2555989.0,301650.9441384736
2026-05-29,8.46,8.67,7.75,7.85,21339460.0,2637757.725587144
2026-06-01,7.85,8.3,7.4,7.4,19113292.0,2482245.714285714
2026-06-02,7.4,7.7,7.21,7.56,5959065.0,795602.8037383178
2026-06-03,7.57,7.95,7.57,7.77,4056183.0,522479.56204379565
2026-06-04,7.76,7.76,7.48,7.49,2948149.0,389108.9749230092
2026-06-05,7.49,7.49,6.9,7.0,15028470.0,2107779.803646564
2026-06-08,6.91,6.92,6.36,6.41,26626367.0,4056836.008125952
2026-06-09,6.42,6.99,6.39,6.55,15213252.0,2290002.80983442
2026-06-10,6.42,6.86,6.01,6.01,14628704.0,2324476.2711864403
2026-06-11,6.0,6.13,5.78,6.02,6853851.0,1146768.1539319577
2026-06-15,6.27,6.89,6.27,6.75,10651528.0,1604951.4816675037
2026-06-16,6.75,6.89,6.6,6.67,3751498.0,558258.6309523811
2026-06-17,6.67,7.0,6.6,6.61,5837103.0,866467.5408213754
2026-06-18,6.61,6.85,6.57,6.61,3322989.0,497701.79730404395
2026-06-19,6.63,6.83,6.5,6.7,7284521.0,1091041.5876185722
2026-06-22,6.7,6.8,6.57,6.7,3514063.0,525271.0014947683
2026-06-23,6.7,7.39,6.63,7.29,14496589.0,2040814.9694978886
2026-06-24,7.29,7.78,7.11,7.49,11457360.0,1535839.1420911527
2026-06-25,7.64,7.64,7.4,7.5,2899479.0,385911.1357586513
2026-06-26,7.5,7.9,7.5,7.9,12606767.0,1623188.8841201717
2026-06-29,8.02,8.23,8.02,8.12,10015628.0,1232945.5888387363
2026-06-30,8.2,8.24,7.48,7.48,12580085.0,1626735.1293103446
2026-07-01,7.48,7.97,7.48,7.69,2270503.0,294360.8038029386
2026-07-02,7.69,7.9,7.59,7.59,1978682.0,257194.36741767768
2026-07-03,7.59,7.95,7.59,7.7,18353341.0,2369192.0395869194
2026-07-06,7.72,7.73,7.25,7.35,6394533.0,859095.3425884461
2026-07-07,7.35,7.7,7.35,7.61,5379408.0,712189.9382171227
2026-07-08,7.61,7.69,7.35,7.35,3694734.0,495051.4515408664
2026-07-09,7.29,7.3,6.95,7.1,8603953.0,1208986.3700234191
2026-07-10,7.1,7.4,7.01,7.06,5572125.0,778592.2217047043
2026-07-13,7.06,7.07,6.94,7.01,2076954.0,296425.404376784
2026-07-14,7.3,7.3,7.1,7.14,763448.0,106329.80501392759
2026-07-15,7.14,7.29,6.9,7.16,4190602.0,588843.3723653395
2026-07-16,7.15,7.4,7.11,7.22,2023432.0,279350.94339622644
2026-07-17,7.22,7.6,7.17,7.5,5351699.0,720929.3668612484
2026-07-20,7.53,8.06,7.5,7.83,12444495.0,1596130.1838392476
2026-07-21,7.86,8.18,7.86,8.07,11347619.0,1411980.7963500621
2026-07-22,8.0,8.35,7.72,7.72,29427132.0,3710861.5384615385
2026-07-23,7.7,7.88,7.6,7.63,7009144.0,909884.55214193
2026-07-24,7.6,7.9,7.5,7.69,11102704.0,1442534.0840190558
2026-07-27,7.52,7.89,7.52,7.6,3929108.0,512269.62190352025
2026-07-28,7.6,7.81,7.56,7.7,4202193.0,546449.0247074122
2026-07-29,7.7,8.33,7.7,8.32,42099075.0,5186744.353182752
2026-07-30,8.28,8.76,8.01,8.01,34645002.0,4194310.169491526
2026-07-31,8.01,8.11,7.84,7.84,26158787.0,3298712.10592686
2026-08-03,8.01,8.09,7.77,7.99,10922531.0,1373903.2704402516
2026-08-04,8.0,8.35,7.82,7.97,24345904.0,3025588.732394366
2026-08-05,7.99,8.8,7.99,8.74,52970178.0,6224462.749706228
2026-08-06,8.8,9.1,8.62,8.98,51324716.0,5766822.02247191
2026-08-07,8.98,13.2,8.73,11.6,157147399.0,14060310.0805249
2026-08-10,12.26,14.38,10.42,11.78,252684994.0,20723208.911973756
2026-08-11,11.58,12.42,11.3,11.8,77814298.0,6572153.547297298
2026-08-12,12.0,13.0,11.74,12.8,68866112.0,5503418.64677677
2026-08-13,13.88,15.38,13.08,15.38,260568512.0,17830874.452554744
